"Week","Min Total Load [MW] - Germany (DE)","Max Total Load [MW] - Germany (DE)"
"Week 1","40594","68743"
"Week 2","42845","72559"
"Week 3","43691","73722"
"Week 4","42893","73661"
"Week 5","43514","73775"
"Week 6","43255","72691"
"Week 7","42826","72800"
"Week 8","41808","71654"
"Week 9","41563","70192"
"Week 10","41611","69976"
"Week 11","41190","70672"
"Week 12","39464","69134"
"Week 13","39377","67262"
"Week 14","32883","67951"
"Week 15","37135","67108"
"Week 16","37535","66642"
"Week 17","36321","66630"
"Week 18","36081","66264"
"Week 19","36813","67152"
"Week 20","36346","66715"
"Week 21","31461","66163"
"Week 22","34619","66135"
"Week 23","36440","66855"
"Week 24","36430","67426"
"Week 25","35923","67395"
"Week 26","35957","66818"
"Week 27","35969","67432"
"Week 28","35125","67157"
"Week 29","34989","66647"
"Week 30","34866","65707"
"Week 31","34888","65843"
"Week 32","34878","64620"
"Week 33","34927","64937"
"Week 34","34643","64898"
"Week 35","35048","65109"
"Week 36","35170","65706"
"Week 37","35647","65827"
"Week 38","35507","65692"
"Week 39","36740","66073"
"Week 40","36642","66497"
"Week 41","37800","67569"
"Week 42","38136","68247"
"Week 43","38886","67610"
"Week 44","39244","69242"
"Week 45","38626","70014"
"Week 46","38899","69425"
"Week 47","40608","71496"
"Week 48","41617","71227"
"Week 49","41534","72436"
"Week 50","41310","72063"
"Week 51","40154","71027"
"Week 52","36588","66831"
